tipo_andamento,classe,num_processo,link,relator,data_autuacao,data_baixa,meio_processo,grupo_origem,assunto_completo,com_pedido_vista,merito_pendente,ramo_direito,em_tramitacao,qtd_processos
recebido,ACO,1150,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2607519,-,01/04/2008,29/06/2015,Físico,Originária,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || AGENTES POLÍTICOS || MINISTÉRIO PÚBLICO2 - DIREITO PROCESSUAL CIVIL E DO TRABALHO || PARTES E PROCURADORES || CAPACIDADE PROCESSUAL",Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
recebido,ACO,1151,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2607460,-,01/04/2008,18/11/2010,Físico,Originária,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || AGENTES POLÍTICOS || PREFEITO || PRESTAÇÃO DE CONTAS,Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
recebido,ACO,1159,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2610341,-,14/04/2008,08/09/2015,Físico,Originária,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || AGENTES POLÍTICOS || MINISTÉRIO PÚBLICO2 - DIREITO PROCESSUAL CIVIL E DO TRABALHO || PARTES E PROCURADORES || CAPACIDADE PROCESSUAL",Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
recebido,ACO,1160,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2610839,-,15/04/2008,01/07/2014,Físico,Originária,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || AGENTES POLÍTICOS || MINISTÉRIO PÚBLICO2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || SERVIDOR PÚBLICO CIVIL || REGIME ESTATUTÁRIO || POSSE E EXERCÍCIO",Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
recebido,ACO,1161,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2611338,-,16/04/2008,12/05/2010,Físico,Originária,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || AGENTES POLÍTICOS || MINISTÉRIO PÚBLICO2 - DIREITO PROCESSUAL CIVIL E DO TRABALHO || PARTES E PROCURADORES || CAPACIDADE PROCESSUAL",Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
recebido,ACO,1168,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2616148,-,08/05/2008,23/06/2008,Físico,Originária,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || AGENTES POLÍTICOS || MINISTÉRIO PÚBLICO2 - DIREITO PROCESSUAL CIVIL E DO TRABALHO || PARTES E PROCURADORES || CAPACIDADE PROCESSUAL3 - DIREITO PENAL || CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE || CRIMES RESULTANTE DE PRECONCEITO DE RAÇA OU DE COR",Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
recebido,ACO,1169,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2617724,-,14/05/2008,06/08/2013,Físico,Originária,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || AGENTES POLÍTICOS || MINISTÉRIO PÚBLICO2 - DIREITO PROCESSUAL CIVIL E DO TRABALHO || PARTES E PROCURADORES || CAPACIDADE PROCESSUAL",Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
recebido,ACO,1172,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2618436,-,16/05/2008,24/04/2014,Físico,Originária,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || ATOS ADMINISTRATIVOS || FISCALIZAÇÃO2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || ATOS ADMINISTRATIVOS || LICENÇAS || FUNCIONAMENTO DE COMÉRCIO DE DERIVADOS DE PETRÓLEO",Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
recebido,ACO,1173,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2619907,-,23/05/2008,22/11/2011,Físico,Originária,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || AGENTES POLÍTICOS || MINISTÉRIO PÚBLICO,Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
recebido,ACO,1179,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2621264,-,30/05/2008,24/11/2011,Físico,Originária,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || AGENTES POLÍTICOS || MINISTÉRIO PÚBLICO2 - DIREITO PROCESSUAL CIVIL E DO TRABALHO || PARTES E PROCURADORES || CAPACIDADE PROCESSUAL3 - DIREITO PENAL || CRIMES PRATICADOS POR PARTICULAR CONTRA A ADMINISTRAÇÃO EM GERAL || DESACATO",Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
